ts,temp,humidity
1594619730.6510494,19.5,76.0
1594619725.7629998,19.5,75.80000305175781
1594619716.5715098,19.600000381469727,75.9000015258789
1594619711.6812582,19.600000381469727,75.80000305175781
1594619706.7600589,19.5,75.69999694824219
1594619697.0303106,19.5,75.80000305175781
1594619687.8303776,19.600000381469727,75.80000305175781
1594619681.868145,19.5,75.69999694824219
1594619677.5163665,19.600000381469727,75.80000305175781
1594619672.6211536,19.600000381469727,76.0
1594619666.649675,19.600000381469727,75.80000305175781
1594619661.2219775,19.5,75.69999694824219
1594619656.872037,19.5,75.80000305175781
1594619646.6083426,19.5,75.80000305175781
1594619641.720089,19.600000381469727,75.80000305175781
1594619636.2791462,19.5,75.9000015258789
1594619626.0208714,19.5,75.80000305175781
1594619619.5219884,19.5,75.80000305175781
1594619614.0946238,19.5,75.80000305175781
1594619609.7440784,19.600000381469727,75.9000015258789
1594619601.0901587,19.5,75.80000305175781
1594619594.5835679,19.5,75.80000305175781
1594619586.9249866,19.5,75.80000305175781
1594619579.8786538,19.5,75.80000305175781
1594619575.52562,19.5,75.80000305175781
1594619571.7121365,19.5,75.80000305175781
1594619562.5215454,19.5,75.80000305175781
1594619556.0225127,19.5,75.80000305175781
1594619549.520605,19.5,75.80000305175781
1594619543.0220332,19.5,75.80000305175781
1594619538.673075,19.5,75.80000305175781
1594619534.8570106,19.600000381469727,75.80000305175781
1594619528.8493867,19.5,75.80000305175781
1594619524.4964242,19.5,75.80000305175781
1594619515.8363342,19.600000381469727,75.80000305175781
1594619511.4820907,19.5,75.69999694824219
1594619506.5946789,19.5,75.5999984741211
1594619502.7803452,19.5,75.5999984741211
1594619497.3506215,19.5,75.5999984741211
1594619492.450551,19.5,75.5999984741211
1594619488.097893,19.5,75.69999694824219
1594619482.1346,19.5,75.5999984741211
1594619461.118661,19.5,75.9000015258789
1594619456.2252686,19.5,75.69999694824219
1594619452.413373,19.5,75.80000305175781
1594619448.5968075,19.5,75.69999694824219
1594619438.3328676,19.5,75.80000305175781
1594619426.1955678,19.5,75.80000305175781
1594619417.5370984,19.5,75.80000305175781
1594619412.0988624,19.5,76.0999984741211
1594619405.5380168,19.5,75.80000305175781
1594619401.7137706,19.5,75.80000305175781
1594619396.286348,19.5,75.80000305175781
